Name,Total,White,Black,Hispanic,Asian,Other,p_White,p_Black,p_Hispanic,p_Asian,p_Other,entropy5,entropy4,entropy_rice,gini_simpson
"Bartlesville, OK Micro Area",50976,38691,1194,2556,552,7983,0.759004237288,0.023422787194,0.0501412429379,0.0108286252354,0.156603107345,0.488770951024,0.301619669411,0.488770951024,0.396208004221
"Bastrop, LA Micro Area",27979,14251,13078,255,98,297,0.509346295436,0.467421995068,0.0091139783409,0.00350262697023,0.0106151041853,0.503266582363,0.547666012314,0.503266582363,0.521875016419
"Batavia, NY Micro Area",60079,54990,1491,1616,355,1627,0.915294861765,0.0248173238569,0.0268979177416,0.0059088866326,0.0270810100035,0.247322659827,0.202858799876,0.247322659827,0.16012762244
"Batesville, AR Micro Area",36647,32914,709,2139,276,609,0.898136273092,0.0193467405245,0.0583676699321,0.0075313122493,0.0166180042023,0.275590662407,0.26332415842,0.275590662407,0.189237274966
"Baton Rouge, LA Metro Area",802484,465308,284561,27357,14222,11036,0.579834613525,0.354600216328,0.0340903993101,0.0177224717253,0.0137522991113,0.577381514642,0.626560802745,0.577381514642,0.536385140478
"Battle Creek, MI Metro Area",136146,108664,14630,6177,2154,4521,0.798143169832,0.107458169906,0.0453704111762,0.0158212507161,0.0332069983694,0.458951509686,0.442402972179,0.458951509686,0.348008731245
"Bay City, MI Metro Area",107771,98241,1574,5093,566,2297,0.911571758636,0.0146050421728,0.0472576110456,0.00525187666441,0.0213137114808,0.248504843404,0.21879121473,0.248504843404,0.166108483292
"Bay City, TX Micro Area",36702,17400,4060,14074,693,475,0.474088605526,0.110620674623,0.383466841044,0.0188818048063,0.0129420740014,0.681081240598,0.750564670375,0.681081240598,0.615432222444
"Beatrice, NE Micro Area",22311,21432,72,385,81,341,0.960602393438,0.00322710770472,0.0172560620322,0.00363049616781,0.0152839406571,0.131396113418,0.0969931140097,0.131396113418,0.0766880764753
"Beaumont-Port Arthur, TX Metro Area",388745,228486,94603,50049,9591,6016,0.587752897143,0.243354898455,0.128745064245,0.0246716999576,0.0154754401986,0.668582286224,0.729885261707,0.668582286224,0.577901451702
"Beaver Dam, WI Micro Area",88759,81325,2361,3522,460,1091,0.916245113172,0.0266001194245,0.0396804831059,0.00518257303485,0.0122917112631,0.239839358493,0.233500467593,0.239839358493,0.158034840267
"Beckley, WV Micro Area",78859,69246,6390,996,715,1512,0.878098885352,0.0810307003639,0.0126301373337,0.00906681545543,0.0191734614946,0.305353268491,0.291710119574,0.305353268491,0.221767024004
"Bedford, IN Micro Area",46134,44562,181,545,224,622,0.9659253479,0.00392335370876,0.011813413101,0.00485542116443,0.0134824641262,0.119040608136,0.087844809674,0.119040608136,0.066627920898
"Beeville, TX Micro Area",31861,10967,2525,17906,162,301,0.344213929255,0.0792504943348,0.562003703587,0.00508458617118,0.00944728665139,0.598198551279,0.662189744981,0.598198551279,0.559272862967
"Bellefontaine, OH Micro Area",45858,43385,728,539,238,968,0.946072659078,0.0158750926774,0.0117536743861,0.00518993414453,0.0211086397139,0.173469605643,0.130332724406,0.173469605643,0.104083846229
"Bellingham, WA Metro Area",201140,164675,1789,15756,6988,11932,0.818708362335,0.00889430247589,0.0783334990554,0.0347419707666,0.0593218653674,0.428448696091,0.35616857905,0.428448696091,0.318775283509
"Bemidji, MN Micro Area",44442,33066,251,676,304,10145,0.744025921426,0.00564781062958,0.015210836596,0.00684037622069,0.228275055128,0.425120579517,0.137424105618,0.425120579517,0.394005869391
"Bend, OR Metro Area",157733,139470,524,11718,1412,4609,0.884215731648,0.00332206957327,0.0742900978235,0.00895183633102,0.0292202646244,0.289760666281,0.248427676204,0.289760666281,0.211698525887
"Bennettsville, SC Micro Area",28933,11657,14652,800,74,1750,0.402896346732,0.506411364186,0.0276500881347,0.00255763315246,0.0604845677946,0.618220675285,0.588653703932,0.618220675285,0.57679261221
"Bennington, VT Micro Area",37125,35517,291,525,264,528,0.956686868687,0.00783838383838,0.0141414141414,0.00711111111111,0.0142222222222,0.146789980743,0.118282558178,0.146789980743,0.0842359759208
"Berlin, NH-VT Micro Area (part)",39361,37895,157,460,187,662,1.92844445218,0.00680288400533,0.0214874650525,0.00848042141415,0.0347847773437,0.127186275053,0.0875385688399,-0.616792877793,-2.72068789383
"Big Rapids, MI Micro Area",42798,39633,1055,731,277,1102,0.926047946166,0.0246506846114,0.0170802373943,0.00647226505911,0.0257488667695,0.222927370937,0.177068703067,0.222927370937,0.140830916286
"Big Spring, TX Micro Area",35012,18801,2079,13255,256,621,0.536987318634,0.0593796412659,0.378584485319,0.00731177881869,0.0177367759625,0.606900114957,0.651882867574,0.606900114957,0.564424409974
"Billings, MT Metro Area",158050,140131,882,7143,937,8957,0.886624485922,0.00558051249605,0.045194558684,0.00592850363809,0.0566719392597,0.291206911549,0.19191198999,0.291206911549,0.208576474854
"Binghamton, NY Metro Area",251725,222179,9199,7472,7390,5485,0.882625881418,0.0365438474526,0.0296831860165,0.0293574337074,0.0217896514053,0.324638805384,0.30791619922,0.324638805384,0.21741836131
"Birmingham-Hoover, AL Metro Area",1128047,733656,317019,48530,13748,15094,0.650377156271,0.281033503037,0.043021257093,0.0121874354526,0.0133806481468,0.548818856513,0.593879598456,0.548818856513,0.495851320882
"Bishop, CA Micro Area",18546,12296,102,3597,229,2322,0.66300010784,0.00549983824005,0.193950177936,0.0123476760487,0.125202199935,0.580085385029,0.458840164097,0.580085385029,0.50695588129
"Bismarck, ND Metro Area",108779,100591,588,1386,439,5775,0.924728118479,0.00540545509703,0.0127414298716,0.00403570542108,0.0530892911316,0.207698950862,0.0965688611184,0.207698950862,0.141851584164
"Blackfoot, ID Micro Area",45607,34176,78,7864,268,3221,0.749358651084,0.0017102637753,0.172429670884,0.00587629092025,0.0706251233363,0.464493562185,0.382121627867,0.464493562185,0.403704256801
"Blacksburg-Christiansburg-Radford, VA Metro Area",162958,143718,6896,3562,5573,3209,0.881932767952,0.0423176524012,0.0218583929601,0.0341989960603,0.0196921906258,0.323708108041,0.312105120043,0.323708108041,0.218368666061
"Bloomington, IN Metro Area",192714,172163,4477,4549,7351,4174,0.893360108762,0.0232313168737,0.0236049275092,0.0381446080721,0.0216590387829,0.300833315332,0.279992583045,0.300833315332,0.1988867043
"Bloomington-Normal, IL Metro Area",169572,138835,12246,7434,7180,3877,0.81873776331,0.0722171113155,0.0438397848701,0.0423418960677,0.0228634444366,0.441704716033,0.444347936455,0.441704716033,0.320215663772
